GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GetPowerMock,sample,Util,5,0,0,0,2,0,2,0,2,0
GetPowerMock,sample,Taisyou,12,0,0,0,4,0,3,0,3,0
